[seeds coco0.1 s3] BalBCE@lr0.003         last10 mAP=33.76 (4.2 min)
[seeds coco0.1 s3] FedNTD-BCE@lr0.003     last10 mAP=34.25 (4.2 min)
[seeds coco0.1 s4] FedAvg@lr0.003         last10 mAP=13.05 (3.2 min)
[seeds coco0.1 s4] FedND-std@lr0.003      last10 mAP=13.32 (4.6 min)
[seeds coco0.1 s4] BalBCE@lr0.003         last10 mAP=34.17 (4.8 min)
[seeds coco0.1 s4] FedNTD-BCE@lr0.003     last10 mAP=35.15 (4.6 min)
[seeds voc0.5 s3] FedAvg@lr0.003         last10 mAP=60.77 (4.1 min)
[seeds voc0.5 s3] FedND-std@lr0.003      last10 mAP=64.52 (7.7 min)
[seeds voc0.5 s3] BalBCE@lr0.003         last10 mAP=71.89 (7.6 min)
[seeds voc0.5 s3] FedNTD-BCE@lr0.003     last10 mAP=71.72 (7.6 min)
[seeds voc0.5 s4] FedAvg@lr0.003         last10 mAP=60.45 (5.5 min)
[seeds voc0.5 s4] FedND-std@lr0.003      last10 mAP=64.08 (7.4 min)
[seeds voc0.5 s4] BalBCE@lr0.003         last10 mAP=71.74 (7.3 min)
[seeds voc0.5 s4] FedNTD-BCE@lr0.003     last10 mAP=71.67 (7.1 min)
[seeds coco0.5 s3] FedAvg@lr0.003         last10 mAP=12.71 (4.5 min)
[seeds coco0.5 s3] FedND-std@lr0.003      last10 mAP=13.58 (6.6 min)
[seeds coco0.5 s3] BalBCE@lr0.003         last10 mAP=35.99 (6.7 min)
[seeds coco0.5 s3] FedNTD-BCE@lr0.003     last10 mAP=36.49 (6.3 min)
[seeds coco0.5 s4] FedAvg@lr0.003         last10 mAP=13.37 (4.4 min)
[seeds coco0.5 s4] FedND-std@lr0.003      last10 mAP=13.74 (6.3 min)
[seeds coco0.5 s4] BalBCE@lr0.003         last10 mAP=36.12 (6.5 min)
[seeds coco0.5 s4] FedNTD-BCE@lr0.003     last10 mAP=36.94 (6.5 min)
REVISION_GROUP_DONE seeds
REVISION_GROUP_DONE losses_ref
