[losses voc0.5 s0] DBLoss@lr0.003         last10 mAP=30.59 (6.1 min)
[losses voc0.5 s0] WBCE@lr0.003           last10 mAP=71.05 (5.9 min)
[losses voc0.5 s0] FocalBCE@lr0.001       last10 mAP=61.07 (6.1 min)
[losses voc0.5 s0] ASL@lr0.001            last10 mAP=69.10 (6.2 min)
[losses voc0.5 s0] DBLoss@lr0.001         last10 mAP=41.79 (6.3 min)
[losses voc0.5 s0] WBCE@lr0.001           last10 mAP=67.00 (6.0 min)
[losses voc0.5 s0] FocalBCE@lr0.01        last10 mAP= 7.71 (6.1 min)
[losses voc0.5 s0] ASL@lr0.01             last10 mAP= 7.71 (6.3 min)
[losses voc0.5 s0] DBLoss@lr0.01          last10 mAP= 7.71 (5.6 min)
[losses voc0.5 s0] WBCE@lr0.01            last10 mAP=72.16 (5.2 min)
[losses voc0.5 s1] FocalBCE@lr0.003       last10 mAP=40.13 (5.0 min)
[losses voc0.5 s1] ASL@lr0.003            last10 mAP=65.11 (5.1 min)
[losses voc0.5 s1] DBLoss@lr0.003         last10 mAP=26.02 (5.0 min)
[losses voc0.5 s1] WBCE@lr0.003           last10 mAP=70.58 (5.2 min)
[losses voc0.5 s1] FocalBCE@lr0.001       last10 mAP=52.26 (4.4 min)
[losses voc0.5 s1] ASL@lr0.001            last10 mAP=62.40 (3.7 min)
[losses voc0.5 s1] DBLoss@lr0.001         last10 mAP=35.93 (3.6 min)
[losses voc0.5 s1] WBCE@lr0.001           last10 mAP=66.08 (3.5 min)
[losses voc0.5 s1] FocalBCE@lr0.01        last10 mAP= 7.71 (3.4 min)
[losses voc0.5 s1] ASL@lr0.01             last10 mAP=24.48 (3.5 min)
[losses voc0.5 s1] DBLoss@lr0.01          last10 mAP= 7.71 (3.5 min)
[losses voc0.5 s1] WBCE@lr0.01            last10 mAP=71.88 (3.4 min)
[losses voc0.5 s2] FocalBCE@lr0.003       last10 mAP=47.36 (3.5 min)
[losses voc0.5 s2] ASL@lr0.003            last10 mAP=69.37 (3.4 min)
[losses voc0.5 s2] DBLoss@lr0.003         last10 mAP=32.73 (3.8 min)
[losses voc0.5 s2] WBCE@lr0.003           last10 mAP=70.67 (3.7 min)
[losses voc0.5 s2] FocalBCE@lr0.001       last10 mAP=61.01 (3.4 min)
[losses voc0.5 s2] ASL@lr0.001            last10 mAP=66.95 (3.7 min)
[losses voc0.5 s2] DBLoss@lr0.001         last10 mAP=44.28 (5.5 min)
[losses voc0.5 s2] WBCE@lr0.001           last10 mAP=66.35 (5.4 min)
[losses voc0.5 s2] FocalBCE@lr0.01        last10 mAP= 7.71 (5.3 min)
